"File","Used","RefCount","Why","CalledBy"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/ads/AdManager.kt","YES","10","Referenced by 10 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/ads/AdPreferences.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/components/EmployerBottomBar.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/DutyPeApplication.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/screens/applications/ApplicationDetailScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/navigation/WorkerNavGraph.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/AdViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/FirestoreJobViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/SmartJobApplicationViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/worker/screens/JobDescriptionScreen.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/ads/AdPreferences.kt","YES","3","Referenced by 3 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/screens/applications/ApplicationDetailScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/AdViewModel.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/AuthManager.kt","YES","13","Referenced by 13 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/components/ProfessionalLogoutDialog.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/screens/EmployerHomeScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/screens/profilescreen/EmployerProfileScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/screens/settings/EmployerMoreSettingsScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/viewmodels/EmployerNotificationViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/managers/RoleSwitchManager.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/OtpViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/ProfileCompletionViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/ProfileViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/RoleManagementViewModel.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/worker/screens/profile/WorkerProfile.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/worker/viewmodels/WorkerNotificationViewModel.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/EnhancedLoginScreen.kt","YES","5","Referenced by 5 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/components/LoginBottomSheet.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/employer/screens/MandatoryEmployerProfileSetupScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/navigation/CommonNavGraph.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/navigation/MainNavGraph.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/worker/screens/MandatoryWorkerProfileSetupScreen.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/FirebasePNVManager.kt","PARTIAL","1","Referenced by 1 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/OtpViewModel.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/RegisterScreen.kt","YES","3","Referenced by 3 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/EnhancedLoginScreen.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/navigation/CommonNavGraph.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/navigation/MainNavGraph.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/SessionManager.kt","PARTIAL","2","Referenced by 2 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/auth/AuthManager.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/cache/EmployerProfileCache.kt","YES","3","Referenced by 3 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/cache/RoleCacheManager.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/viewmodels/FirestoreEmployerJobViewModel.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/cache/JobCacheManager.kt","YES","4","Referenced by 4 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/cache/RoleCacheManager.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/metadata/MetadataManager.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/repositories/FirestoreJobRepository.kt"
"C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/cache/RoleCacheManager.kt","PARTIAL","2","Referenced by 2 file(s)","C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/di/AppModule.kt; C:/Users/vamsi/StudioProjects/DutyPe/app/src/main/java/com/example/dutype/managers/RoleSwitchManager.kt"
