enter_email_address	ईमेल पता दर्ज करें
select_date_of_birth	अपनी जन्म तिथि चुनें
copy_button	कॉपी करें
share_button	शेयर करें
code_copied	कोड कॉपी हो गया!
your_referral_code	आपका रेफरल कोड
share_code_friend_bonus	यह कोड शेयर करें → दोस्त को ₹25 बोनस मिलेगा!
your_stats	आपके आँकड़े
free_job_postings	मुफ़्त जॉब पोस्टिंग
available_to_withdraw	निकालने के लिए उपलब्ध
next_milestone	अगला पड़ाव
how_it_works	यह कैसे काम करता है
rewards_milestones	इनाम और पड़ाव
how_to_redeem	कैसे भुनाएँ
recent_referrals	हाल के रेफरल
amount_rs	राशि (रु.)
performance_analytics	प्रदर्शन विश्लेषण
top_percentile	शीर्ष प्रतिशत
top_performers	शीर्ष प्रदर्शक
important_information	महत्वपूर्ण जानकारी
terms_rbi_consent	भाग लेकर, आप हमारी शर्तों और RBI दिशानिर्देशों से सहमत होते हैं।
email_support	ईमेल सहायता
whatsapp_support	व्हाट्सएप सहायता
whatsapp_support_subtitle	व्हाट्सएप पर हमें संदेश भेजें
search_help_topics	सहायता विषय खोजें
report_a_problem	समस्या की शिकायत करें
report_submitted	शिकायत दर्ज हो गई
report_submitted_thanks	शिकायत करने के लिए धन्यवाद। हम इसकी जाँच करेंगे।
describe_issue_intro	आपको जो समस्या आ रही है उसे बताएँ, हम जाँच करेंगे।
describe_problem	समस्या बताएँ
submit_report	शिकायत भेजें
tutorial	ट्यूटोरियल
updating	अपडेट हो रहा है...
update_job	नौकरी अपडेट करें
amount	राशि
describe_job_placeholder	काम की ज़िम्मेदारियाँ और आवश्यकताएँ बताएँ...
contact_number_label	संपर्क नंबर
your_name_optional	आपका नाम (वैकल्पिक)
enter_your_name	अपना नाम दर्ज करें
number_of_vacancies	रिक्तियों की संख्या
delete_job	नौकरी हटाएँ
delete_job_confirm	क्या आप वाकई यह जॉब पोस्टिंग हटाना चाहते हैं? यह क्रिया वापस नहीं की जा सकती।
deleting	हटाया जा रहा है...
delete	हटाएँ
address_label_hint	लेबल (जैसे, ऑफ़िस, फ़ैक्ट्री, दुकान)
enter_label	लेबल दर्ज करें
pay_type	वेतन का प्रकार
enter_job_type	काम का प्रकार दर्ज करें
preview_button	पूर्वावलोकन
post_job_button	नौकरी पोस्ट करें
enter_location_or_gps	स्थान दर्ज करें या GPS इस्तेमाल करें
vacancies_max_50	रिक्तियाँ (अधिकतम 50)
enter_number_of_positions	पदों की संख्या दर्ज करें
max_50_vacancies_hint	स्थानीय नौकरियों के लिए अधिकतम 50 रिक्तियाँ मान्य हैं
your_name	आपका नाम
contact	संपर्क करें
shortlist	शॉर्टलिस्ट करें
reject	अस्वीकार करें
confirm	पुष्टि करें
office_name	ऑफ़िस का नाम
search_or_enter_address	पता खोजें या दर्ज करें
search_location_or_enter_address	स्थान खोजें या पता दर्ज करें
saving	सहेजा जा रहा है...
add_address	पता जोड़ें
gallery	गैलरी
camera	कैमरा
accept	स्वीकार करें
processing	प्रक्रिया जारी है...
report	शिकायत करें
change_location	स्थान बदलें
feedback_optional	आपकी प्रतिक्रिया (वैकल्पिक)
feedback_hint	हमें बताएँ आप क्या सोचते हैं...
write_review_optional	समीक्षा लिखें (वैकल्पिक)
review_hint	अपना अनुभव साझा करें...
no_locations_found	कोई स्थान नहीं मिला
try_different_search	कोई दूसरा खोज शब्द आज़माएँ
applications	आवेदन
near_label	पास: 
education_example_hint	जैसे: 10वीं पास + 2 साल
getting_started	शुरुआत करें
finding_jobs_faster	तेज़ी से नौकरियाँ खोजें
applying_work_start	आवेदन और काम की शुरुआत
building_reputation	अपनी साख बनाएँ
getting_paid_safely	सुरक्षित भुगतान पाएँ
help_faqs	मदद और सामान्य प्रश्न
whatsapp_label	व्हाट्सएप
email_label	ईमेल
worker_guide	कर्मचारी गाइड
frequently_asked	अक्सर पूछे जाने वाले प्रश्न
posting_a_job	नौकरी पोस्ट करना
managing_applications	आवेदन प्रबंधित करना
verifying_work_completion	काम पूरा होने की पुष्टि
building_trust_score	ट्रस्ट स्कोर बनाना
best_practices	बेहतर तरीके
send_feedback	प्रतिक्रिया भेजें
my_ratings_reviews	मेरी रेटिंग और समीक्षाएँ
enter_phone_number	अपना फ़ोन नंबर दर्ज करें
enter_gender	अपना लिंग दर्ज करें
enter_skills_comma	अपने कौशल दर्ज करें (कॉमा से अलग करें)
describe_experience	अपने काम का अनुभव बताएँ
tell_us_about_role	हमें इस पद के बारे में बताएँ
pay_where_work	वेतन और काम की जगह
who_you_want_extras	आपको कौन चाहिए और अतिरिक्त बातें
login_to_post_job	नौकरी पोस्ट करने के लिए लॉगिन करें
type_label	प्रकार
area_label	क्षेत्र
essentials	ज़रूरी बातें
trust_tier	ट्रस्ट स्तर
visual	तस्वीर
experience_required	आवश्यक अनुभव
