post_job_ready_percent	%1$d%% तैयार
post_job_launch_checklist	पोस्ट करने की सूची
post_job_step_of	चरण %1$d / %2$d
post_job_title_label	पद का नाम
post_job_select_position	जिस पद के लिए भर्ती कर रहे हैं उसे चुनें
post_job_local_only_warning	केवल स्थानीय, आमने-सामने वाली नौकरियाँ मान्य हैं। ऑनलाइन या वर्क-फ्रॉम-होम नहीं।
post_job_category_label	श्रेणी: %1$s
post_job_custom_category	अपनी श्रेणी: %1$s
post_job_pick_quick_title	कोई सामान्य पद चुनें या अपना लिखें
post_job_work_type	काम का प्रकार
post_job_work_type_desc	पूर्णकालिक, अंशकालिक या लचीला?
post_job_how_much_pay	आप कितना वेतन देंगे?
post_job_market_rate_for	%1$s के लिए बाज़ार दर:
post_job_work_location	कार्य स्थान
post_job_requirements	नौकरी की आवश्यकताएँ
post_job_looking_for	आप किसे खोज रहे हैं?
post_job_gender_preference	लिंग वरीयता
post_job_perks_benefits	सुविधाएँ और लाभ
post_job_attract_candidates	ज़्यादा उम्मीदवार आकर्षित करें
post_job_selected_count	%1$d चुने गए
post_job_add_own_perk	अपनी सुविधा जोड़ें
post_job_perk_placeholder	कोई अतिरिक्त लाभ लिखें (जैसे जिम सदस्यता, त्योहार बोनस)
jobs_loading_more	और नौकरियाँ लोड हो रही हैं...
jobs_something_went_wrong	कुछ गड़बड़ हो गई
jobs_unable_to_load	नौकरियाँ लोड नहीं हो सकीं। कृपया फिर कोशिश करें।
jobs_filter_title	नौकरियाँ फ़िल्टर करें
jobs_filter_subtitle	क्रम, वेतन, दूरी, अनुभव और काम का प्रकार
jobs_sort_by	इसके अनुसार क्रमबद्ध करें
jobs_pay_type	वेतन का प्रकार
jobs_salary_range	वेतन सीमा
jobs_max_distance	अधिकतम दूरी
jobs_fine_tune_distance	बारीकी से तय करें: %1$d किमी
jobs_showing_all	दूरी की परवाह किए बिना सभी नौकरियाँ दिख रही हैं
jobs_experience_level	अनुभव स्तर
jobs_apply_filters	फ़िल्टर लागू करें
map_urgent_hiring	अर्जेंट - आज ही भर्ती!
map_available	✓ उपलब्ध
map_per_hour	/घंटा
map_per_month	/महीना
map_meters_away	%1$d मीटर दूर
map_km_away	%1$s किमी दूर
profile_tap_add_name	अपना नाम जोड़ने के लिए टैप करें
profile_set_up_profile	अपनी प्रोफ़ाइल बनाएँ
profile_tap_add_details	अपना विवरण जोड़ने के लिए टैप करें
profile_login_signup	लॉग इन / साइन अप
profile_view_update_data	अपनी प्रोफ़ाइल जानकारी देखें और अपडेट करें
profile_my_activity	मेरी गतिविधि
profile_rewards	इनाम
profile_others	अन्य
profile_edit_profile	प्रोफ़ाइल संपादित करें
profile_photo_updated	प्रोफ़ाइल फ़ोटो अपडेट हो गई!
profile_photo_upload_failed	फ़ोटो अपलोड नहीं हो सकी। कृपया फिर कोशिश करें।
profile_login_to_upload	फ़ोटो अपलोड करने के लिए कृपया लॉगिन करें
profile_photo_upload_error	फ़ोटो अपलोड करने में त्रुटि
profile_details_title	प्रोफ़ाइल विवरण
profile_no_ratings	अभी कोई रेटिंग नहीं
profile_saved	प्रोफ़ाइल सहेज ली गई!
profile_save_failed	प्रोफ़ाइल सहेजी नहीं जा सकी
profile_add_your_name	अपना नाम जोड़ें
profile_tap_photo_change	फ़ोटो बदलने के लिए टैप करें
profile_not_provided	नहीं दिया गया
post_urgent_need_title	तत्काल काम
post_urgent_need_subtitle	⚡ अभी कर्मचारी चाहिए? मिनटों में भर्ती करें
urgent_jobs_expire_title	तत्काल नौकरियाँ अपने आप समाप्त हो जाती हैं
urgent_jobs_expire_body	अभी और आज वाली पोस्ट 24 घंटे खुली रहती हैं। कल वाली पोस्ट 48 घंटे खुली रहती हैं।
urgent_work_details	काम का विवरण
urgent_work_needed	कैसा काम चाहिए
urgent_work_needed_hint	2 घंटे के लिए रसोइया चाहिए
urgent_workers_needed	कितने कर्मचारी चाहिए
