mark_work_done	काम पूरा चिह्नित करें
main_office_branch_hint	जैसे, मुख्य ऑफ़िस, शाखा
error_fetching_location	स्थान पाने में त्रुटि
location_permission_fetch_address	पता पाने के लिए लोकेशन अनुमति ज़रूरी है
add_your_qualification	अपनी योग्यता जोड़ें
qualification_example_hint	जैसे बी.कॉम, नर्सिंग डिप्लोमा, ITI इलेक्ट्रीशियन
worker_bio_hint	नियोक्ताओं को अपने काम के तरीके, अनुभव और भरोसे के बारे में बताएँ
enter_number_positions	पदों की संख्या दर्ज करें
error_getting_location	स्थान पाने में त्रुटि
add_description_photo_optional	विवरण या फ़ोटो जोड़ें (वैकल्पिक)
add_requirements_optional	आवश्यकताएँ जोड़ें (वैकल्पिक)
publishing	प्रकाशित हो रहा है...
education_required	आवश्यक शिक्षा
publish_job	नौकरी प्रकाशित करें
schedule	समय-सारणी
add_own_experience	अपना अनुभव जोड़ें
login_apply_job	इस नौकरी के लिए आवेदन करने हेतु लॉगिन करें
login_save_job	इस नौकरी को सहेजने के लिए लॉगिन करें
login_call_employer	नियोक्ता को कॉल करने के लिए लॉगिन करें
please_login_continue	जारी रखने के लिए कृपया लॉगिन करें
job_fresh_update_saved	धन्यवाद, आपके अपडेट से नौकरियाँ ताज़ा बनी रहती हैं।
job_not_found	नौकरी नहीं मिली
hired_status	चयनित!
quick_call_update	त्वरित कॉल अपडेट
quick_call_update_body	इससे हम भरी हुई नौकरियाँ जल्दी बंद कर पाते हैं
did_speak_employer	क्या आपकी नियोक्ता से बात हुई?
yes_spoke	हाँ, बात हुई
no_answer	कोई जवाब नहीं
job_still_available_question	क्या नौकरी अब भी उपलब्ध है?
availability_still_available	अब भी उपलब्ध
availability_job_filled	नौकरी भर गई
availability_not_sure	पक्का नहीं
save_feedback_failed	प्रतिक्रिया सहेजी नहीं जा सकी। फिर कोशिश करें।
referral_code_format	कोड: %1$s
unable_prepare_repost	दोबारा पोस्ट तैयार नहीं हो सकी
add_work_location	कार्य स्थान जोड़ें
unable_open_work_locations	कार्य स्थान नहीं खुल सके। कृपया फिर कोशिश करें।
login_company_profile	अपनी कंपनी प्रोफ़ाइल देखने और संपादित करने के लिए लॉगिन करें
login_job_posts	अपनी जॉब पोस्ट देखने के लिए लॉगिन करें
login_manage_work_locations	कार्य स्थान प्रबंधित करने के लिए लॉगिन करें
login_refer_earn	दोस्तों को रेफर करने और इनाम कमाने के लिए लॉगिन करें
login_access_feature	इस सुविधा के लिए कृपया लॉगिन करें
saved_work_locations	सहेजे गए कार्य स्थान
work_location_required_error	कार्य स्थान ज़रूरी है
work_location_required_label	कार्य स्थान *
phone_number_required_error	फ़ोन नंबर ज़रूरी है
valid_10_digit_phone_error	मान्य 10 अंकों का फ़ोन नंबर दर्ज करें
company_name_required_error	कंपनी का नाम ज़रूरी है
selected_worker	चुना गया कर्मचारी
request_sent	अनुरोध भेजा गया
not_available_for_job	इस नौकरी के लिए उपलब्ध नहीं
available_now	अभी उपलब्ध
invite_to_confirm	पुष्टि के लिए आमंत्रित करें
requested	अनुरोध किया गया
request	अनुरोध करें
selected_keep_job_open	चुन लिया गया। अगर और कर्मचारी चाहिए तो नौकरी खुली रखें।
selected_filled_job	इस भरी हुई नौकरी के लिए चुना गया।
disabled_job_filled	बंद है क्योंकि यह नौकरी पहले ही भरी हुई चिह्नित है।
please_select_rating	कृपया एक रेटिंग चुनें
failed_submit_feedback_retry	प्रतिक्रिया भेजी नहीं जा सकी। कृपया फिर कोशिश करें।
empty_search_subtitle	"%1$s" से मेल खाती कोई नौकरी नहीं\nदूसरे शब्द आज़माएँ या खोज हटाएँ।
no_saved_item_type	कोई सहेजी गई %1$s नहीं
save_item_type_later	बाद के लिए %1$s सहेजने हेतु बुकमार्क आइकन पर टैप करें।
browse_item_type	%1$s देखें
